SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched Score,Matched School,PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_STATE_CODE,PSS_ZIP5,PSS_PHONE,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_T,PSS_RACE_ AMERICAN_INDIAN,PSS_RACE_ASIAN/PACIFIC,PSS_RACE_HISPANIC,PSS_RACE_BLACK,PSS_RACE_WHITE,PSS_RACE_PACIFIC,PSS_RACE_MULTICULTURAL,PSS_FULLTIME_TEACH,PSS_COEDUCATION,PSS_LEVEL,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,PSS_COUNTY_NAME,Matched Address,Matched School Name
ST JOSEPH HILL ACADEMY,850 HYLAN BLVD,10305.0,40.59927744,-74.0718183,5,100,ST JOSEPH HILL ACADEMY,A0502554,ST JOSEPH HILL ACADEMY,2,13,850 HYLAN BLVD,STATEN ISLAND,36085,85,NY,36,10305,7189811187,180.0,6.0,Yes,,66.0,44.0,591.0,0.0,40.0,43.0,5.0,411.0,0.0,26.0,40.0,1,1,1,0.0,7.61,8.19,0.95,78.28,0.0,4.95,13.12,1,RICHMOND,,
ST LUKES SCHOOL FS (SLK),487 HUDSON ST,10014.0,40.7325148,-74.00649841,0,90,ST LUKES SCHOOL,00925831,ST LUKES SCHOOL,2,13,1601 150TH PL,WHITESTONE,36081,81,NY,36,11357,7187463833,180.0,7.0,Yes,,45.0,36.0,421.0,0.0,16.0,43.0,5.0,310.0,0.0,2.0,30.4,1,1,1,0.0,4.25,11.43,1.32,82.44,0.0,0.53,12.36,1,QUEENS,,
ST LUKES SCHOOL FS (SLK),487 HUDSON ST,10014.0,40.7325148,-74.00649841,0,90,ST LUKES SCHOOL,00935227,ST LUKES SCHOOL,2,13,487 HUDSON ST,NEW YORK,36061,61,NY,36,10014,2129245960,167.0,7.33,Yes,,19.0,36.0,344.0,0.0,21.0,12.0,38.0,193.0,0.0,61.0,47.6,1,1,2,0.0,6.46,3.69,11.69,59.38,0.0,18.76,6.82,14,NEW YORK,,
ST MICHAEL CATHOLIC ACADEMY,13658 41 AVE,11355.0,40.75865777,-73.82905422,0,92,ST MEL CATHOLIC ACADEMY,A1903131,ST MEL CATHOLIC ACADEMY,2,9,15424 26TH AVE,FLUSHING,36081,81,NY,36,11354,7185398211,180.0,7.0,Yes,,97.0,27.0,173.0,0.0,11.0,12.0,1.0,45.0,0.0,7.0,6.3,1,1,1,0.0,14.47,15.78,1.31,59.21,0.0,9.21,12.06,1,QUEENS,,
ST. ANN'S SCHOOL,129 PIERREPONT ST,11201.0,40.69502668,-73.99238012,2,97,ST ANN'S SCHOOL,A9300620,ST ANN'S SCHOOL,2,17,129 PIERREPONT ST,BROOKLYN,36047,47,NY,36,11201,7185221660,161.0,8.0,Yes,,55.0,69.0,1097.0,0.0,48.0,83.0,89.0,616.0,3.0,203.0,194.3,1,3,3,0.0,4.6,7.96,8.54,59.11,0.28,19.48,5.36,30,KINGS,,
ST. ANN'S SCHOOL,153 PIERREPONT ST BSMT,11201.0,40.69469173,-73.99116849,2,97,ST ANN'S SCHOOL,A9300620,ST ANN'S SCHOOL,2,17,129 PIERREPONT ST,BROOKLYN,36047,47,NY,36,11201,7185221660,161.0,8.0,Yes,,55.0,69.0,1097.0,0.0,48.0,83.0,89.0,616.0,3.0,203.0,194.3,1,3,3,0.0,4.6,7.96,8.54,59.11,0.28,19.48,5.36,30,KINGS,,
ST. ATHANASIUS SCHOOL,830 SOUTHERN BLVD,10459.0,40.81692361,-73.89557142,1,98,ST ATHANASIUS SCHOOL,00922207,ST ATHANASIUS SCHOOL,2,13,830 SOUTHERN BLVD,BRONX,36005,5,NY,36,10459,7185425161,180.0,8.0,Yes,,48.0,47.0,373.0,2.0,2.0,266.0,46.0,6.0,1.0,2.0,18.6,1,1,1,0.61,0.61,81.84,14.15,1.84,0.3,0.61,17.47,1,BRONX,,
ST. BARNABAS SCHOOL,413 E  241 ST,10470.0,40.90198132,-73.86508674,2,95,ST BARNABAS HIGH SCHOOL,00922171,ST BARNABAS HIGH SCHOOL,14,17,425 E 240TH ST,BRONX,36005,5,NY,36,10470,7183258800,180.0,7.0,Yes,,,,205.0,0.0,9.0,79.0,72.0,43.0,2.0,0.0,11.0,2,2,1,0.0,4.39,38.53,35.12,20.97,0.97,0.0,18.63,1,BRONX,,
St. BARTHOLOMEW CATHOLIC ACADEMY,4415 JUDGE ST,11373.0,40.74295648,-73.87744895,1,98,ST BARTHOLOMEW CATHOLIC ACADEMY,BB912059,ST BARTHOLOMEW CATHOLIC ACADEMY,3,13,4415 JUDGE ST,ELMHURST,36081,81,NY,36,11373,7184467575,180.0,7.0,Yes,,,14.0,170.0,0.0,32.0,134.0,2.0,2.0,0.0,0.0,9.8,1,1,1,0.0,18.82,78.82,1.17,1.17,0.0,0.0,17.34,1,QUEENS,,
ST. BENEDICT SCHOOL,1016 EDISON AVE,10465.0,40.83215976,-73.82554008,2,97,ST BENEDICT SCHOOL,00923164,ST BENEDICT SCHOOL,2,13,1016 EDISON AVE,BRONX,36005,5,NY,36,10465,7188299557,180.0,6.75,No,,47.0,30.0,331.0,1.0,7.0,166.0,14.0,64.0,1.0,31.0,14.6,1,1,1,0.35,2.46,58.45,4.92,22.53,0.35,10.91,19.45,1,BRONX,,
ST. CHARLES BORROMEO SCHOOL,214 W  142 ST,10030.0,40.82003291,-73.94125279,4,98,ST CHARLES BORROMEO SCHOOL,00922954,ST CHARLES BORROMEO SCHOOL,2,13,214 W 142ND ST,NEW YORK,36061,61,NY,36,10030,2123686666,178.0,8.0,No,,84.0,34.0,321.0,1.0,0.0,47.0,187.0,1.0,0.0,1.0,23.0,1,1,1,0.42,0.0,19.83,78.9,0.42,0.0,0.42,10.3,1,NEW YORK,,
ST. CLAIRE SCHOOL,151 LINDENWOOD ROAD,10308.0,40.54664036,-74.15098205,2,94,ST CLARE SCHOOL,00922965,ST CLARE SCHOOL,2,13,151 LINDENWOOD RD,STATEN ISLAND,36085,85,NY,36,10308,7189847091,174.0,6.8,Yes,,86.0,62.0,593.0,0.0,6.0,16.0,1.0,475.0,5.0,4.0,28.5,1,1,1,0.0,1.18,3.15,0.19,93.68,0.98,0.78,17.78,1,RICHMOND,,
ST. CLARE SCHOOL,1911 HONE AVE,10461.0,40.85119899,-73.85653295,4,97,ST CLARE SCHOOL,00922965,ST CLARE SCHOOL,2,13,151 LINDENWOOD RD,STATEN ISLAND,36085,85,NY,36,10308,7189847091,174.0,6.8,Yes,,86.0,62.0,593.0,0.0,6.0,16.0,1.0,475.0,5.0,4.0,28.5,1,1,1,0.0,1.18,3.15,0.19,93.68,0.98,0.78,17.78,1,RICHMOND,,
ST. EDMUND PREPARATORY HIGH SCHOOL,2474 OCEAN AVE,11229.0,40.60104097,-73.95173455,3,99,ST EDMUND PREPARATORY HIGH SCHOOL,BB021405,ST EDMUND PREPARATORY HIGH SCHOOL,14,17,2474 OCEAN AVE,BROOKLYN,36047,47,NY,36,11229,7187436100,180.0,6.5,Yes,,,,510.0,0.0,59.0,51.0,132.0,260.0,2.0,6.0,40.5,1,2,1,0.0,11.56,10.0,25.88,50.98,0.39,1.17,12.59,1,KINGS,,
ST. ELIZABETH SCHOOL,612 W  187 ST,10033.0,40.85322232,-73.93140918,0,97,ST ELIZABETH SCHOOL,00919883,ST ELIZABETH SCHOOL,2,13,612 W 187TH ST,NEW YORK,36061,61,NY,36,10033,2125687291,180.0,7.0,No,,100.0,25.0,320.0,0.0,3.0,172.0,14.0,17.0,0.0,14.0,18.0,1,1,1,0.0,1.36,78.18,6.36,7.72,0.0,6.36,12.22,1,NEW YORK,,
ST. FRANCIS OF ASSISI CATHOLIC ACADEMY,400 LINCOLN ROAD,11225.0,40.66163107,-73.94944141,0,99,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,00924248,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,2,13,400 LINCOLN RD,BROOKLYN,36047,47,NY,36,11225,7187783700,178.0,7.0,No,,58.0,10.0,237.0,0.0,0.0,21.0,156.0,2.0,0.0,0.0,12.0,1,1,1,0.0,0.0,11.73,87.15,1.11,0.0,0.0,14.91,1,KINGS,,
ST. FRANCIS OF ASSISI CATHOLIC ACADEMY,400 LINCOLN ROAD,11225.0,40.66163107,-73.94944141,0,99,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,BB201264,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,2,13,2118 46TH ST,ASTORIA,36081,81,NY,36,11105,7187269405,180.0,7.0,Yes,,84.0,24.0,310.0,0.0,11.0,23.0,11.0,170.0,0.0,11.0,10.9,1,1,1,0.0,4.86,10.17,4.86,75.22,0.0,4.86,20.73,1,QUEENS,,
ST. FRANCIS PREP,6100 FRANCIS LEWIS BLVD,11365.0,40.74266493,-73.77543997,5,97,ST FRANCIS PREP,00925106,ST FRANCIS PREP,14,17,6100 FRANCIS LEWIS BLVD,FRESH MEADOWS,36081,81,NY,36,11365,7184238810,180.0,7.03,Yes,,,,2420.0,6.0,378.0,564.0,396.0,1024.0,20.0,32.0,115.6,1,2,1,0.24,15.61,23.3,16.36,42.31,0.82,1.32,20.93,1,QUEENS,,
ST. HELENA SCHOOL,2050 BENEDICT AVE,10462.0,40.83446682,-73.85634511,3,97,ST HELENA SCHOOL,00919249,ST HELENA SCHOOL,3,13,2050 BENEDICT AVE,BRONX,36005,5,NY,36,10462,7188923234,180.0,6.5,Yes,,,18.0,172.0,0.0,42.0,65.0,65.0,0.0,0.0,0.0,9.0,1,1,1,0.0,24.41,37.79,37.79,0.0,0.0,0.0,19.11,1,BRONX,,
ST. IGNATIUS LOYOLA,48 E   84 ST,10028.0,40.77932513,-73.95929577,2,95,ST IGNATIUS LOYOLA SCHOOL,01607319,ST IGNATIUS LOYOLA SCHOOL,2,13,48 E 84TH ST,NEW YORK,36061,61,NY,36,10028,2128613820,176.0,6.0,Yes,,53.0,49.0,573.0,1.0,67.0,24.0,5.0,385.0,0.0,38.0,29.6,1,1,1,0.19,12.88,4.61,0.96,74.03,0.0,7.3,17.56,1,NEW YORK,,
ST. JOSEPH THE WORKER CATHOLIC ACADEMY,241 PROSPECT PARK WEST,11215.0,40.6594476,-73.98115333,2,99,ST JOSEPH THE WORKER CATHOLIC ACADEMY,00924394,ST JOSEPH THE WORKER CATHOLIC ACADEMY,2,13,241 PROSPECT PARK W,BROOKLYN,36047,47,NY,36,11215,7187687629,180.0,8.0,Yes,,27.0,27.0,254.0,0.0,0.0,35.0,42.0,140.0,0.0,10.0,26.6,1,1,1,0.0,0.0,15.41,18.5,61.67,0.0,4.4,8.53,1,KINGS,,
ST. LUCY SCHOOL,830 MACE AVE,10467.0,40.86311013,-73.86244354,4,95,ST LUCY'S SCHOOL,00919238,ST LUCY'S SCHOOL,2,13,830 MACE AVE,BRONX,36005,5,NY,36,10467,7188822203,180.0,6.5,No,,153.0,19.0,368.0,1.0,26.0,109.0,32.0,36.0,1.0,10.0,11.0,1,1,1,0.46,12.09,50.69,14.88,16.74,0.46,4.65,19.54,1,BRONX,,
ST. MARGARET OF CORTONA SCHOOL,452 W  260 ST,10471.0,40.90829937,-73.90290168,3,98,ST MARGARET OF CORTONA SCHOOL,A1903126,ST MARGARET OF CORTONA SCHOOL,2,13,452 W 260TH ST,BRONX,36005,5,NY,36,10471,7185498580,180.0,7.75,Yes,,66.0,14.0,266.0,0.0,7.0,43.0,29.0,87.0,0.0,34.0,9.0,1,1,1,0.0,3.5,21.5,14.5,43.5,0.0,17.0,22.22,1,BRONX,,
ST. MARK CATHOLIC ACADEMY,2602 E   19 ST,11235.0,40.588247,-73.95052329,0,98,ST MARK CATHOLIC ACADEMY,00926201,ST MARK CATHOLIC ACADEMY,2,13,2602 E 19TH ST,BROOKLYN,36047,47,NY,36,11235,7183329304,180.0,7.16,No,,80.0,41.0,350.0,0.0,27.0,50.0,44.0,144.0,0.0,5.0,14.5,1,1,1,0.0,10.0,18.51,16.29,53.33,0.0,1.85,18.62,1,KINGS,,
ST. MARKS DAY SCHOOL,1346 PRESIDENT ST,11213.0,40.66772773,-73.94459925,1,95,ST MARK'S DAY SCHOOL,02046178,ST MARK'S DAY SCHOOL,2,13,1346 PRESIDENT ST,BROOKLYN,36047,47,NY,36,11213,7187566602,180.0,6.33,Yes,,10.0,7.0,50.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,12.8,1,1,2,0.0,0.0,5.0,95.0,0.0,0.0,0.0,3.12,14,KINGS,,
ST. NICHOLAS OF TOLENTINE SCHOOL,8022 PARSONS BLVD,11432.0,40.71941971,-73.80890984,1,98,ST NICHOLAS OF TOLENTINE SCHOOL,BB201296,ST NICHOLAS OF TOLENTINE SCHOOL,2,13,8022 PARSONS BLVD,JAMAICA,36081,81,NY,36,11432,7183801900,176.0,6.5,Yes,,50.0,38.0,328.0,0.0,65.0,121.0,52.0,36.0,0.0,4.0,15.9,1,1,1,0.0,23.38,43.52,18.7,12.94,0.0,1.43,17.48,1,QUEENS,,
ST. PAUL SCHOOL,114 E  118 ST,10035.0,40.80021866,-73.94138593,0,97,ST PAUL SCHOOL,00919511,ST PAUL SCHOOL,3,13,114 E 118TH ST,NEW YORK,36061,61,NY,36,10035,2125340619,180.0,7.5,Yes,,,16.0,177.0,0.0,7.0,78.0,82.0,5.0,0.0,5.0,13.4,1,1,1,0.0,3.95,44.06,46.32,2.82,0.0,2.82,13.2,1,NEW YORK,,
ST. PETER'S BOYS HIGH SCHOOL,200 CLINTON AVE,10301.0,40.63940623,-74.09775046,1,96,ST PETERS BOYS HIGH SCHOOL,00920378,ST PETERS BOYS HIGH SCHOOL,14,17,200 CLINTON AVE,STATEN ISLAND,36085,85,NY,36,10301,7184471676,180.0,6.33,Yes,,,,447.0,0.0,21.0,19.0,37.0,353.0,0.0,17.0,24.0,3,2,1,0.0,4.69,4.25,8.27,78.97,0.0,3.8,18.62,1,RICHMOND,,
ST. PHILIP NERI SCHOOL,3031 GRAND CONCOURSE,10468.0,40.87366015,-73.88696649,3,98,ST PHILIP NERI SCHOOL,00919522,ST PHILIP NERI SCHOOL,2,13,3031 GRAND CONCOURSE,BRONX,36005,5,NY,36,10468,7183658806,180.0,6.83,No,,110.0,29.0,314.0,2.0,5.0,153.0,26.0,16.0,1.0,1.0,11.6,1,1,1,0.98,2.45,75.0,12.74,7.84,0.49,0.49,17.58,1,BRONX,,
ST. SAVIOUR SCHOOL,588 6 ST,11215.0,40.66706903,-73.97671382,1,95,ST SAVIOUR HIGH SCHOOL,00926063,ST SAVIOUR HIGH SCHOOL,14,17,588 6TH ST,BROOKLYN,36047,47,NY,36,11215,7187684406,180.0,6.6,Yes,,,,180.0,0.0,2.0,47.0,46.0,47.0,4.0,34.0,18.0,2,2,1,0.0,1.11,26.11,25.55,26.11,2.22,18.88,10.0,1,KINGS,,
ST. THOMAS CHOIR SCHOOL,202 W   58 ST,10019.0,40.76634515,-73.97993165,3,98,ST THOMAS CHOIR SCHOOL,A9105048,ST THOMAS CHOIR SCHOOL,8,13,202 W 58TH ST,NEW YORK,36061,61,NY,36,10019,2122473311,180.0,7.0,No,,,,25.0,,,,,,,,11.0,3,1,2,,,,,,,,2.27,14,NEW YORK,,
ST. THOMAS THE APOSTLE CATHOLIC ACADEMY,8749 87TH ST,11421.0,40.69182783,-73.85693128,0,99,ST THOMAS THE APOSTLE CATHOLIC ACADEMY,00925842,ST THOMAS THE APOSTLE CATHOLIC ACADEMY,2,13,8749 87TH ST,WOODHAVEN,36081,81,NY,36,11421,7188473904,177.0,7.0,No,,51.0,9.0,205.0,0.0,4.0,146.0,2.0,2.0,0.0,0.0,13.3,1,1,1,0.0,2.59,94.8,1.29,1.29,0.0,0.0,11.57,1,QUEENS,,
ST. VINCENT FERRER HIGH SCHOOL,151 E   65 ST,10065.0,40.76577613,-73.96494656,3,98,ST VINCENT FERRER HIGH SCHOOL,00919588,ST VINCENT FERRER HIGH SCHOOL,14,17,151 E 65TH ST,NEW YORK,36061,61,NY,36,10065,2125354680,180.0,6.66,No,,,,373.0,0.0,35.0,96.0,32.0,203.0,0.0,7.0,25.9,2,2,1,0.0,9.38,25.73,8.57,54.42,0.0,1.87,14.4,1,NEW YORK,,
ST.LGNATIUS LOYOLA PRESCHOOL,240 E   84 ST,10028.0,40.77708065,-73.95397505,0,91,ST IGNATIUS LOYOLA SCHOOL,01607319,ST IGNATIUS LOYOLA SCHOOL,2,13,48 E 84TH ST,NEW YORK,36061,61,NY,36,10028,2128613820,176.0,6.0,Yes,,53.0,49.0,573.0,1.0,67.0,24.0,5.0,385.0,0.0,38.0,29.6,1,1,1,0.19,12.88,4.61,0.96,74.03,0.0,7.3,17.56,1,NEW YORK,,
STATEN ISLAND ACADEMY,715 TODT HILL ROAD,10304.0,40.5949184,-74.11019774,1,100,STATEN ISLAND ACADEMY,A0740097,STATEN ISLAND ACADEMY,2,17,715 TODT HILL RD,STATEN ISLAND,36085,85,NY,36,10304,7183037836,160.0,7.33,Yes,,27.0,11.0,332.0,0.0,37.0,11.0,12.0,224.0,0.0,21.0,55.0,1,3,3,0.0,12.13,3.6,3.93,73.44,0.0,6.88,5.54,30,RICHMOND,,
TALMUD TORAH D'RABINU YOEL,5411 FORT HAMILTON PARKWAY,11219.0,40.63585775,-74.00139075,3,98,TALMUD TORAH DRABINU YOEL,A0902392,TALMUD TORAH DRABINU YOEL,3,8,5411 FORT HAMILTON PKWY,BROOKLYN,36047,47,NY,36,11219,7184387131,230.0,7.66,No,,,398.0,857.0,0.0,0.0,0.0,0.0,857.0,0.0,0.0,84.4,3,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.15,18,KINGS,,
TALMUD TORAH IMREI CHAIM,1824 53 ST,11204.0,40.62557721,-73.98253906,4,100,TALMUD TORAH IMREI CHAIM,A9903260,TALMUD TORAH IMREI CHAIM,2,14,1824 53RD ST,BROOKLYN,36047,47,NY,36,11204,7182342000,255.0,6.5,Yes,,81.0,74.0,752.0,0.0,0.0,0.0,0.0,671.0,0.0,0.0,58.0,3,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.56,18,KINGS,,
TALMUD TORAH OF KASHO,324 PENN ST,11211.0,40.70605101,-73.95235794,4,100,TALMUD TORAH OF KASHO,A9702490,TALMUD TORAH OF KASHO,2,16,324 PENN ST,BROOKLYN,36047,47,NY,36,11211,7184751177,240.0,10.0,No,,34.0,19.0,328.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,31.0,3,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.48,18,KINGS,,
TALMUD TORAH OHEL YOCHANON,1325 38 ST,11218.0,40.64075896,-73.98499249,1,96,TALMUD TORAH OHEL YOCHANAN,A0107700,TALMUD TORAH OHEL YOCHANAN,2,13,1325 38TH ST,BROOKLYN,36047,47,NY,36,11218,7184312991,170.0,8.0,No,,168.0,75.0,879.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,45.0,3,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,15.8,18,KINGS,,
TALMUD TORAH TIFERES YECHIEL,3909 15 AVE,11218.0,40.63783808,-73.98199898,2,90,TALMUD TORAH TIFERES YECHIEL D'ALEKSANDER INC,A1702684,TALMUD TORAH TIFERES YECHIEL D'ALEKSANDER INC,2,11,3810 14TH AVE,BROOKLYN,36047,47,NY,36,11218,7184347300,,,,,61.0,29.0,258.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,7.0,3,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,28.14,18,KINGS,,
THE BIRCH WATHEN LENOX SCHOOL FS (BWL),210 E   77 ST,10075.0,40.77274265,-73.95776538,4,95,THE BIRCH WATHEN LENOX SCHOOL,A1502611,THE BIRCH WATHEN LENOX SCHOOL,3,17,210 E 77TH ST,NEW YORK,36061,61,NY,36,10075,2128610404,180.0,6.0,Yes,,,13.0,404.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,150.0,1,3,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.69,30,NEW YORK,,
THE BREARLEY SCHOOL,590 E 83RD ST,10028.0,40.77295475,-73.9464249,2,100,THE BREARLEY SCHOOL,00939491,THE BREARLEY SCHOOL,3,17,610 E 83RD ST,NEW YORK,36061,61,NY,36,10028,2125708514,162.0,6.5,Yes,,,58.0,768.0,0.0,161.0,58.0,54.0,308.0,0.0,187.0,99.1,2,3,3,0.0,20.96,7.55,7.03,40.1,0.0,24.34,7.74,30,NEW YORK,,
THE BREARLEY SCHOOL,590 E 83RD ST,10028.0,40.77295475,-73.9464249,2,100,THE BREARLEY SCHOOL,BB162147,THE BREARLEY SCHOOL,3,17,610 E 83RD ST,NEW YORK,36061,61,NY,36,10028,2125708514,161.0,6.25,Yes,,,58.0,768.0,0.0,161.0,58.0,54.0,308.0,0.0,187.0,99.1,2,3,3,0.0,20.96,7.55,7.03,40.1,0.0,24.34,7.74,30,NEW YORK,,
THE BREARLEY SCHOOL,610 E   83 ST,10028.0,40.77287219,-73.94596283,1,100,THE BREARLEY SCHOOL,00939491,THE BREARLEY SCHOOL,3,17,610 E 83RD ST,NEW YORK,36061,61,NY,36,10028,2125708514,162.0,6.5,Yes,,,58.0,768.0,0.0,161.0,58.0,54.0,308.0,0.0,187.0,99.1,2,3,3,0.0,20.96,7.55,7.03,40.1,0.0,24.34,7.74,30,NEW YORK,,
THE BREARLEY SCHOOL,610 E   83 ST,10028.0,40.77287219,-73.94596283,1,100,THE BREARLEY SCHOOL,BB162147,THE BREARLEY SCHOOL,3,17,610 E 83RD ST,NEW YORK,36061,61,NY,36,10028,2125708514,161.0,6.25,Yes,,,58.0,768.0,0.0,161.0,58.0,54.0,308.0,0.0,187.0,99.1,2,3,3,0.0,20.96,7.55,7.03,40.1,0.0,24.34,7.74,30,NEW YORK,,
THE BROOKLYN WALDORF SCHOOL,11 JEFFERSON AVE,11238.0,40.68248622,-73.95697907,2,95,BROOKLYN WALDORF SCHOOL,A0701709,BROOKLYN WALDORF SCHOOL,2,13,11 JEFFERSON AVE,BROOKLYN,36047,47,NY,36,11238,6463313773,162.0,7.0,Yes,,16.0,20.0,152.0,,,,,,,,24.0,1,1,3,,,,,,,,5.66,30,KINGS,,
THE BROWNING SCHOOL FS (BRS),52 E   62 ST,10065.0,40.76521475,-73.96947742,2,95,THE BROWNING SCHOOL,00939651,THE BROWNING SCHOOL,3,17,52 E 62ND ST,NEW YORK,36061,61,NY,36,10065,2128386280,180.0,6.5,Yes,,,40.0,460.0,0.0,25.0,60.0,50.0,300.0,25.0,0.0,110.0,3,3,3,0.0,5.43,13.04,10.86,65.21,5.43,0.0,4.18,30,NEW YORK,,
THE CAEDMON SCHOOL FS (CMS),416 E   80 ST,10075.0,40.77263305,-73.95130643,2,95,THE CAEDMON SCHOOL,00939833,THE CAEDMON SCHOOL,2,10,416 E 80TH ST,NEW YORK,36061,61,NY,36,10075,2128792296,175.0,7.5,Yes,,79.0,22.0,180.0,0.0,11.0,8.0,10.0,53.0,2.0,17.0,24.6,1,1,3,0.0,10.89,7.92,9.9,52.47,1.98,16.83,4.1,30,NEW YORK,,
THE CALHOUN SCHOOL,325 W   85 ST,10024.0,40.7885391,-73.97915573,1,95,CALHOUN SCHOOL,X0938239,CALHOUN SCHOOL,2,17,433 W END AVE,NEW YORK,36061,61,NY,36,10024,2124976533,165.0,6.75,Yes,,34.0,33.0,599.0,3.0,35.0,90.0,76.0,308.0,0.0,53.0,96.9,1,3,3,0.53,6.19,15.92,13.45,54.51,0.0,9.38,5.83,30,NEW YORK,,
"THE CALHOUN SCHOOL, INC.",433 W END AVE,10024.0,40.78542951,-73.98038087,5,90,CALHOUN SCHOOL,X0938239,CALHOUN SCHOOL,2,17,433 W END AVE,NEW YORK,36061,61,NY,36,10024,2124976533,165.0,6.75,Yes,,34.0,33.0,599.0,3.0,35.0,90.0,76.0,308.0,0.0,53.0,96.9,1,3,3,0.53,6.19,15.92,13.45,54.51,0.0,9.38,5.83,30,NEW YORK,,
THE CHILD SCHOOL-LEGACY HIGH SCHOOL,587 MAIN ST,10044.0,40.76278398,-73.94927769,2,97,THE CHILD SCHOOL - LEGACY HIGH SCHOOL,A1990581,THE CHILD SCHOOL - LEGACY HIGH SCHOOL,6,17,587 MAIN ST,ROOSEVELT ISLAND,36061,61,NY,36,10044,2122235055,210.0,5.5,Yes,,,,289.0,0.0,9.0,80.0,60.0,140.0,0.0,0.0,34.5,1,3,3,0.0,3.11,27.68,20.76,48.44,0.0,0.0,8.37,30,NEW YORK,,
THE DALTON SCHOOL,108 E   89 ST,10128.0,40.78185702,-73.95522833,2,95,DALTON SCHOOL,A2102584,DALTON SCHOOL,2,17,53 E 91ST ST,NEW YORK,36061,61,NY,36,10128,2124235200,160.0,7.0,Yes,,100.0,,1321.0,0.0,193.0,75.0,125.0,546.0,0.0,282.0,216.1,1,3,3,0.0,15.8,6.14,10.23,44.71,0.0,23.09,5.65,30,NEW YORK,,
THE DALTON SCHOOL - LOWER,63 E   91 ST,10128.0,40.78374562,-73.95577954,0,90,DALTON SCHOOL,A2102584,DALTON SCHOOL,2,17,53 E 91ST ST,NEW YORK,36061,61,NY,36,10128,2124235200,160.0,7.0,Yes,,100.0,,1321.0,0.0,193.0,75.0,125.0,546.0,0.0,282.0,216.1,1,3,3,0.0,15.8,6.14,10.23,44.71,0.0,23.09,5.65,30,NEW YORK,,
THE DWIGHT SCHOOL,18 W   89 ST,10024.0,40.78746348,-73.96853187,4,95,DWIGHT SCHOOL,A0302186,DWIGHT SCHOOL,2,17,291 CENTRAL PARK W,NEW YORK,36061,61,NY,36,10024,2127246360,174.0,6.91,Yes,,179.0,34.0,921.0,0.0,66.0,63.0,37.0,461.0,0.0,115.0,128.0,1,3,3,0.0,8.89,8.49,4.98,62.12,0.0,15.49,5.79,30,NEW YORK,,
THE ECOLE,111 E   22 ST,10010.0,40.73917293,-73.98601311,0,90,ECOLE INTERNATIONALE DE NEW YORK - THE ECOLE,A1101658,ECOLE INTERNATIONALE DE NEW YORK - THE ECOLE,2,13,111 E 22ND ST FL 3,NEW YORK,36061,61,NY,36,10010,6465865105,170.0,7.5,Yes,,34.0,39.0,249.0,0.0,17.0,5.0,22.0,171.0,0.0,0.0,30.0,1,1,3,0.0,7.9,2.32,10.23,79.53,0.0,0.0,7.16,30,NEW YORK,,
THE GENEVA SCHOOL OF MANHATTAN,138 W   90 ST,10024.0,40.78979744,-73.97212405,0,100,THE GENEVA SCHOOL OF MANHATTAN,A1903166,THE GENEVA SCHOOL OF MANHATTAN,2,14,138 W 90TH ST,NEW YORK,36061,61,NY,36,10024,2127549988,168.0,7.0,Yes,,52.0,32.0,284.0,0.0,88.0,8.0,18.0,85.0,0.0,33.0,33.4,1,3,2,0.0,37.93,3.44,7.75,36.63,0.0,14.22,6.94,8,NEW YORK,,
